 Use Code,Use,TreatmentTherapeutic_Area
U-2088 ,treatment partial-onset seizures without secondarily generalized seizures patients epilepsy,['NEUROLOGY (189) ']
U-2089 ,treatment primary generalized tonic-clonic seizures adjunctive therapy patients epilepsy,['NEUROLOGY (189) ']
U-2428 ,treatment partial-onset seizures without secondarily generalized seizures patients epilepsy 4 years age older,['NEUROLOGY (189) ']
U-2429 ,treatment primary generalized tonic-clonic seizures adjunctive therapy patients epilepsy 12 years age older,['NEUROLOGY (189) ']
U-1279 ,treatment hiv infection using composition containing pharmacokinetic enhancer inhibits cytochrome p450 monooxygenase,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1950 ,treatment patients advanced (metastatic) non-small cell lung cancer whose disease progressed platinum-based chemotherapy,['ONCOLOGY (263) ']
U-649 ,method treating tumor disease,['NEUROLOGY (189) ']
U-791 ,gleevec also indicated treatment patients kit (cd117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (gist),['ONCOLOGY (263) ']
U-1883 ,treatment gastrointestinal stromal tumors (gist),['GASTROENTEROLOGY (105) ']
U-1652 ,method treating type 2 diabetes mellitus administering linagliptin combination empagliflozin metformin,['ENDOCRINOLOGY (229) ']
U-1651 ,method treating type 2 diabetes mellitus administering linagliptin combination empagliflozin,['ENDOCRINOLOGY (229) ']
U-1653 ,method treating type 2 diabetes mellitus administering linagliptin combination empagliflozin (with without metformin),['ENDOCRINOLOGY (229) ']
U-1654 ,method treating type 2 diabetes mellitus administering linagliptin combination empagliflozin (with without insulin sulfonylurea),['ENDOCRINOLOGY (229) ']
U-1772 ,method treating type 2 diabetes mellitus administering linagliptin combination empagliflozin,['ENDOCRINOLOGY (229) ']
U-1114 ,"treatment gabapentin, including treatment neuropathic pain, including neuropathic pain associated postherpetic neuralgia",['NEUROLOGY (189) ']
U-2369 ,"treatment genotype 1, 4, 5 6 chronic hepatitis c virus (hcv) infection","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2370 ,treatment-naive genotype 1 patients chronic hepatitis c virus (hcv) infection duration 8-weeks,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1699 ,method treating acute lymphoblastic leukemia,['ONCOLOGY (263) ']
U-1700 ,method treating philadelphia chromosome positive acute lymphoblastic leukemia,['ONCOLOGY (263) ']
U-1701 ,method treating leukemia resulting mutation bcr-abl kinase domain,['ONCOLOGY (263) ']
U-1948 ,method treating chronic myeloid leukemia,['ONCOLOGY (263) ']
U-2087 ,treatment relapsed refractory acute myeloid leukemia (aml) isocitrate dehydrogenase-2 (idh2) mutation,['ONCOLOGY (263) ']
U-2243 ,treatment chronic lymphocytic leukemia/small lymphocytic lymphoma 17p deletion,['ONCOLOGY (263) ']
U-256 ,treatment hiv infection combination one additional hiv antiviral agents,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1016 ,"combination antiretroviral agents treatment hiv-1 infection treatment-experienced adult patients, evidence viral replication hiv-1 strains resistant nnrti antiretroviral agents",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1237 ,"combo w/ antiretrovirals tx hiv-1 antiretroviral tx-experienced pt 6 years up, evidence viral replication hiv-1 strains resistant non-nucleoside reverse transcriptase inhibitor antiretrovirals",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2354 ,combination antiretrovirals (atv) treatment hiv-1 atv treatment-experienced patients 2 years older evidence viral replication hiv-1 strains resistant non-nucleoside reverse transcriptase inhibitor atv,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-900 ,integrase inhibition treatment hiv infection,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1201 ,treatment intermediate high-risk myelofibrosis,['FAMILY MEDICINE (624) ']
U-1622 ,treatment polycythemia vera,['FAMILY MEDICINE (624) ']
U-1573 ,use ruxolitinib (jakafi) inhibiting janus associated kinases (jaks) jak1 and/or jak2.,['FAMILY MEDICINE (624) ']
U-1721 ,use ruxolitinib (jakafi) blocking signal transduction janus associated kinases (jaks) jak1 and/or jak2,['FAMILY MEDICINE (624) ']
U-2292 ,method reducing risk cardiovascular death adult patients type 2 diabetes mellitus cardiovascular disease daily administration 10 mg 25 mg empagliflozin,['FAMILY MEDICINE (624) ']
U-2307 ,treatment autosomal dominant polycystic kidney disease,['NEPHROLOGY (88) ']
U-1335 ,methods modifying glucose metabolism treating diabetes comprising administering dipeptidyl peptidase inhibitor one therapeutic agents metformin,['FAMILY MEDICINE (624) ']
U-1336 ,methods treating diabetes comprising administering dipeptidyl peptidase inhibitor metformin,['FAMILY MEDICINE (624) ']
U-1337 ,method treating diabetes comprising administering alogliptin,['FAMILY MEDICINE (624) ']
U-1338 ,method treating diabetes comprising administering compound alogliptin,['FAMILY MEDICINE (624) ']
U-2355 ,"combination aromatase inhibitor treatment pre/perimenopausal postmenopausal women hr-positive, her2-negative advanced metastatic breast cancer, initial endocrine-based therapy",['ONCOLOGY (263) ']
U-2356 ,"combination fulvestrant treatment postmenopausal women hr-positive, her2-negative advanced metastatic breast cancer, initial endocrine based therapy following disease progression endocrine therapy",['ONCOLOGY (263) ']
U-1643 ,treating cushing's syndrome,['FAMILY MEDICINE (624) ']
U-1770 ,treatment schizophrenia improvement negative symptoms and/or cognitive dysfunction schizophrenia,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1822 ,treatment schizophrenia bipolar depression improvement attention function schizophrenia and/or bipolar disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2166 ,treatment major depressive episodes associated bipolar disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2199 ,treatment schizophrenia improvement attention function schizophrenia,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2201 ,treatment bipolar depression improvement attention function bipolar disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1754 ,treatment pulmonary hypertension (pah) combination tadalafil,['FAMILY MEDICINE (624) ']
U-1965 ,"treatment pulmonary arterial hypertension (pah) combination tadalafil, wherein weight ratio ambrisentan tadalafil 1:2 1:3",['FAMILY MEDICINE (624) ']
U-1751 ,"treatment patients metastatic colorectal cancer previously treated fluoropyrimidine-, oxaliplatin- irinotecan-based chemotherapy, anti-vegf biological therapy, ras wild-type, anti-egfr therapy",['ONCOLOGY (263) ']
U-2101 ,"maintenance treatment recurrent epithelial ovarian, fallopian tube primary peritoneal cancer, complete partial response platinum-based chemotherapy",['ONCOLOGY (263) ']
U-2103 ,"maintenance treatment brca-mutated recurrent epithelial ovarian, fallopian tube primary peritoneal cancer, complete partial response platinum-based chemotherapy",['ONCOLOGY (263) ']
U-2480 ,"maintenance treatment gbrca- sbrca-mutated advanced epithelial ovarian, fallopian tube primary peritoneal cancer complete partial response first-line platinum-based chemotherapy",['ONCOLOGY (263) ']
U-2481 ,treatment deleterious suspected deleterious germline brca-mutated advanced ovarian cancer treated three prior lines chemotherapy,['ONCOLOGY (263) ']
U-2482 ,"treatment hr-negative, her-2 negative, gbrca-mutated metastatic breast cancer, treated chemotherapy neoadjuvant, adjuvant, metastatic setting",['ONCOLOGY (263) ']
U-2483 ,"treatment hr-positive, her-2 negative, gbrca-mutated metastatic breast cancer, treated chemotherapy neoadjuvant, adjuvant, metastatic setting, endocrine therapy inappropriate endocrine therapy",['ONCOLOGY (263) ']
U-2141 ,"treatment chronic hepatitis c virus (hcv) genotype 1, 2, 3, 4, 5, 6","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1712 ,mekinist combination dabrafenib treatment patients unresectable metastatic melanoma,['ONCOLOGY (263) ']
U-2033 ,"mekinist indicated, single agent combination dabrafenib, treatment patients unresectable metastatic melanoma braf v600e v600k mutations",['DERMATOLOGY (109) ']
U-1581 ,combination dabrafenib treatment unresectable metastatic melanoma.,['DERMATOLOGY (109) ']
U-1582 ,treatment unresectable metastatic melanoma,['DERMATOLOGY (109) ']
U-2020 ,"mekinist indicated, combination dabrafenib, treatment patients metastatic non-small cell lung cancer (nsclc) braf v600e mutation detected fda-approved test",['ONCOLOGY (263) ']
U-2037 ,"mekinist indicated, single agent combination dabrafenib, treatment patients unresectable metastatic melanoma braf v600e v600k mutations, detected fda-approved test",['DERMATOLOGY (109) ']
U-2302 ,"mekinist indicated, combination dabrafenib, adjuvant treatment patients melanoma braf v600e v600k mutations, detected fda-approved test, involvement lymph node(s), following complete resection",['DERMATOLOGY (109) ']
U-2305 ,"mekinist indicated, combination dabrafenib, treatment patients locally advanced metastatic anaplastic thyroid cancer (atc) braf v600e mutation satisfactory locoregional treatment options",['ONCOLOGY (263) ']
U-2331 ,indicated combination encorafenib treatment melanoma,['FAMILY MEDICINE (624) ']
U-2330 ,method treating melanoma,['DERMATOLOGY (109) ']
U-2332 ,indicated combination encorafenib treatment melanoma mediated b-raf protein kinase,['FAMILY MEDICINE (624) ']
U-2333 ,indicated combination encorafenib treatment melanoma braf mutation,['ONCOLOGY (263) ']
U-1185 ,treatment opioid-induced constipation,['GASTROENTEROLOGY (105) ']
U-2344 ,treatment thrombocytopenia adult patients chronic liver disease scheduled undergo procedure,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2043 ,"extended adjuvant treatment adult patients early stage her2-overexpressed/amplified breast cancer, follow adjuvant trastuzumab base therapy",['ONCOLOGY (263) ']
U-1459 ,treatment carcinoma thyroid,['FAMILY MEDICINE (624) ']
U-1696 ,treatment unresectable hepatocellular carcinoma,['ONCOLOGY (263) ']
U-1624 ,"treatment unresectable hepatocellular carcinoma, advanced renal cell carcinoma, differentiated thyroid carcinoma.",['ONCOLOGY (263) ']
U-2107 ,"treatment locally recurrent metastatic, progressive, differentiated thyroid carcinoma refractory radioactive iodine treatment",['ONCOLOGY (263) ']
U-2444 ,treatment subjects bacterial skin skin structure infection,['DERMATOLOGY (109) ']
U-1854 ,treatment primary biliary cholangitis (pbc),['FAMILY MEDICINE (624) ']
U-995 ,method treating type ii diabetes administering saxagliptin,['ENDOCRINOLOGY (229) ']
U-1837 ,"method treating type ii diabetes mellitus administering saxagliptin alone combination insulin, metformin, thiazolidinedione, glyburide metformin plus sulfonylurea",['ENDOCRINOLOGY (229) ']
U-1446 ,method treating pulmonary hypertension comprising administering macitentan combination compound phosphodiesterase-5 inhibitory properties,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1445 ,"method treating pulmonary arterial hypertension administering pharmaceutical composition comprising macitentan polysorbate, wherin polysorbate represents 0.1 1% weight said pharmaceutical composition",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1820 ,"method treating pulmonary arterial hypertension administering pharmaceutical composition comprising macitentan polysorbate, wherein polysorbate represents 0.1 3% weight said pharmaceutical composition",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2360 ,management moderate severe pain associated endometriosis,['NEUROLOGY (189) ']
U-2411 ,"treatment cystic fibrosis patient age 12 years older homozygous f508del mutation cftr gene using tablet comprising lumacaftor recited claim 1, 19, 21 u.s. patent no. 10,076,513 ivacaftor",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1973 ,"method treating cystic fibrosis using n-(5-hydroxy-2,4-ditert-butyl-phenyl)-4-oxo-1h-quinoline-3-carboxamide 3-(6-(1-2,2-difluorobenzo[d][1,3]dioxol-5-yl) cyclopropanecarboxamido)-3-methylpyridin-2-yl)benzoic acid","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1911 ,method treating patient cystic fibrosis using ivacaftor lumacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1718 ,method treating cystic fibrosis patients f508del mutation cystic fibrosis transmembrane conductance regulator (cftr) gene.,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1910 ,"method treating cystic fibrosis patient, patient f508del mutation cftr, using dosage unit claim 1 u.s. patent no. 8,716,338","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1717 ,method treating cystic fibrosis patients homozygous f508del mutation cystic fibrosis transmembrane conductance regulator (cftr) gene,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1909 ,"method treating cystic fibrosis patient, patient f508del mutation cftr, using ivacaftor lumacaftor","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1908 ,"method treating cystic fibrosis patient, patient f508del mutation cftr, using ivacaftor form lumacaftor","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1912 ,"method treating cystic fibrosis patient, patient f508del mutation cftr, using dosage unit defined claim 1 u.s. patent no. 9,192,606","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2276 ,method treating cystic fibrosis patient age 6 older homozygous f508del mutation cftr gene using lumacaftor solid composition comprising amorphous (less 30% crystalline) ivacaftor,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1334 ,methods treating diabetes comprising administering insulin sensitivity enhancer pioglitazone combination insulin secretion enhancer,['ENDOCRINOLOGY (229) ']
U-905 ,"treatment moderate severe vaginal dryness pain intercourse, symptoms vulvar vaginal atrophy, associated menopause",['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-1370 ,treatment dyspareunia associated menopause,['FAMILY MEDICINE (624) ']
U-1369 ,treatment vaginal symptoms urogenital atrophy orally administering ospemifene food enhance bioavailability ospemifene,['FAMILY MEDICINE (624) ']
U-2403 ,treatment psoriasis using dosage titration schedule,['DERMATOLOGY (109) ']
U-1504 ,use otezla (apremilast) inhibiting pde4,['FAMILY MEDICINE (624) ']
U-1505 ,use otezla (apremilast) treatment psoriatic arthritis,['RHEUMATOLOGY (52) ']
U-1595 ,use otezla (apremilast) treatment psoriasis,['DERMATOLOGY (109) ']
U-1561 ,use otezla (apremilast) treatment psoriatic arthritis,['RHEUMATOLOGY (52) ']
U-2232 ,treatment psoriatic arthritis using dosage titration schedule,['RHEUMATOLOGY (52) ']
U-2233 ,treatment psoriatic arthritis apremilast using dosage titration schedule second active agent,['RHEUMATOLOGY (52) ']
U-2394 ,use combination antiretroviral agents treatment hiv-1 infection adult patients prior antiretroviral treatment history,['FAMILY MEDICINE (624) ']
U-3 ,treatment hypertension,['FAMILY MEDICINE (624) ']
U-1306 ,treatment thrombocytopenia patients chronic hepatitis c allow initiation maintenance interferon-based therapy,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2451 ,treatment thrombocytopenia adult pediatric patients 1 year older chronic immune (idiopathic) thrombocytopenia (itp),['HEMATOLOGY (135) ']
U-930 ,treatment idiopathic thrombocytopenic purpura (itp),['FAMILY MEDICINE (624) ']
U-1575 ,patients severe aplastic anemia insufficient response immunosuppressive therapy,['FAMILY MEDICINE (624) ']
U-1714 ,treatment thrombocytopenia adult pediatric patients 6 years older chronic immune (idiopathic) thrombocytopenia (itp),['HEMATOLOGY (135) ']
U-2452 ,combination immunosuppressive therapy first-line treatment adult pediatric patients 2 years older severe aplastic anemia,['FAMILY MEDICINE (624) ']
U-1976 ,method treating type 2 diabetes mellitus (t2dm) patients inadequate control dapagliflozin,['ENDOCRINOLOGY (229) ']
U-1977 ,method treating type 2 diabetes mellitus (t2dm) patients already treated dapagliflozin saxagliptin,['ENDOCRINOLOGY (229) ']
U-2012 ,"method treating ovarian cancer administering rucaparib, wherein cancer associated deleterious brca mutation",['ONCOLOGY (263) ']
U-2273 ,"method treating epithelial ovarian, fallopian tube, primary peritoneal cancer, wherein cancer associated deleterious brca mutation",['ONCOLOGY (263) ']
U-2214 ,adjunct diet exercise improve glycemic control adults type 2 diabetes,['ENDOCRINOLOGY (229) ']
U-1098 ,method treating hyperparathyroidism; method treating hypercalcemia,['ONCOLOGY (263) ']
U-2405 ,method treating bacterial infection inflammatory lesions non-nodular moderate severe acne vulgaris patients 9 years age older comprising administering effective amount sarecycline hydrochloride,['FAMILY MEDICINE (624) ']
U-2406 ,method treating patient 9 years age older suffering inflammatory skin disorder non-nodular moderate severe acne vulgaris comprising administering effective amount sarecycline hydrochloride,['DERMATOLOGY (109) ']
U-2407 ,method treating acne inflammatory lesions non-nodular moderate severe acne vulgaris patients 9 years age older comprising administering effective amount sarecycline hydrochloride crystalline salt,['DERMATOLOGY (109) ']
U-2408 ,method treating bacterial infection inflammatory lesions non-nodular moderate severe acne vulgaris patients 9 years age older comprising administering effective amount sarecycline hydrochloride crystalline salt,['FAMILY MEDICINE (624) ']
U-2409 ,"method treating acne inflammatory lesions non-nodular moderate severe acne vulgaris patients 9 years age older comprising administering sarecycline hydrochloride 60 mg, 100 mg 150 mg equivalent doses",['FAMILY MEDICINE (624) ']
U-1321 ,treatment pulmonary multi-drug resistant tuberculosis,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1958 ,"treatment genotype 1, 2, 3 4 chronic hepatitis c virus (hcv) infection component combination antiviral treatment regimen ribavirin","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-748 ,method treatment protein tyrosine kinase-associated disorder,['FAMILY MEDICINE (624) ']
U-780 ,method treatment cancer,['ONCOLOGY (263) ']
U-779 ,"method treatment cancer, wherein cancer chronic myelogenous leukemia",['ONCOLOGY (263) ']
U-2215 ,ertugliflozin combination sitagliptin combination metformin adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-2216 ,ertugliflozin sitagliptin combination adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-1506 ,"treatment patients gastrointestinal stromal tumor (gist), including limited patients previously treated imatinib patients gist resistance kit tyrosine kinase inhibitor",['ONCOLOGY (263) ']
U-2352 ,treatment hiv-1 infection adults prior antiretroviral treatment history virologically suppressed stable antiretroviral regimen least 6 months,['FAMILY MEDICINE (624) ']
U-2353 ,tx hiv-1 infection using composition containing pk enhancer inhibits cytochrome p450 monooxygenates adults prior antiretroviral tx history virologically suppressed stable antiretroviral regimen least 6 months,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2364 ,treatment hiv-1 infection using composition containing pharmacokinetic enhancer inhibits cytochrome p450 monooxygenase adults prior antiretroviral treatment history,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2365 ,treatment hiv-1 infection using composition containing pharmacokinetic enhancer inibits cytochrome p450 monooxygenase adults virologically suppressed stable antiretroviral regimen least 6 months,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1777 ,"treatment patients metastatic epidermal growth factor receptor (egfr) t790m mutation-positive non-small cell lung cancer (nsclc), progressed egfr tki therapy",['ONCOLOGY (263) ']
U-2289 ,treatment patients metastatic non-small cell lung cancer (nsclc) whose tumors epidermal growth factor receptor (egfr) exon 19 deletions exon 21l858r mutations,['ONCOLOGY (263) ']
U-659 ,treatment locally advanced metastatic non small-cell lung cancer (nsclc) failure least one prior chemotherapy regimen,['ONCOLOGY (263) ']
U-875 ,"first-line treatment locally advanced unresectable metastatic pancreatic cancer, combination gemcitabine",['ONCOLOGY (263) ']
U-1046 ,maintenance treatment patients locally advanced metastatic nsclc whose disease progressed four cycles platinum-based chemotherapy,['ONCOLOGY (263) ']
U-1403 ,first-line treatment metastatic non small-cell lung cancer (nsclc) egfr exon 19 deletions exon 21 (l858r) substitution mutations detected fda-approved test,['ONCOLOGY (263) ']
U-1045 ,maintenance treatment patients locally advanced metastatic nsclc progressed 1st-line treatment wth platinum-based chemotherapy,['ONCOLOGY (263) ']
U-2294 ,treatment thrombocytopenia adult patients chronic immune thrombocytopenia (itp) insufficient response previous treatment,['HEMATOLOGY (135) ']
U-2350 ,method treating cancer characterized idh1 mutation cancer acute myelogenous leukemia (aml),['ONCOLOGY (263) ']
U-2351 ,treatment acute myeloid leukemia (aml) idh1 mutation,['ONCOLOGY (263) ']
U-867 ,treatment migraine,['FAMILY MEDICINE (624) ']
U-1719 ,acute treatment migraine,['FAMILY MEDICINE (624) ']
U-1439 ,method treating affective disorder depression,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1668 ,method treating depression major depressive disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2309 ,"use treatment major depressive disorder improve processing speed, aspect cognitive function",['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2436 ,use treatment major depressive disorder improve treatment emergent sexual dysfunction (tesd) induced prior serotonin reuptake inhibitor treatment,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1964 ,elevation intracellular cgmp resulting increased intestinal fluid accelerated transit,['FAMILY MEDICINE (624) ']
U-1999 ,chronic idiopathic constipation,['GASTROENTEROLOGY (105) ']
U-2230 ,irritable bowel syndrome constipation,['GASTROENTEROLOGY (105) ']
U-800 ,"treatment patients advanced metastatic breast cancer whose tumors overexpress her2 received prior therapy including anthracycline, taxane trastuzumab",['ONCOLOGY (263) ']
U-1429 ,treatment patients breast cancer whose tumors overexpress her2 receptor,['ONCOLOGY (263) ']
U-954 ,chronic management hyperuricemia patients gout. recommended treatment asymptomatic hyperuricemia,['FAMILY MEDICINE (624) ']
U-1346 ,"use febuxostat management hyperuricemia patients suffering gout and, used theophylline without need dose adjustment theophylline",['NEUROLOGY (189) ']
U-1797 ,method treating pulmonary arterial hypertension comprising administering pharmaceutical composition comprising selexipag,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1798 ,method treating pulmonary arterial hypertension comprising administering selexipag combination endothelin receptor antagonist macitentan,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1831 ,method treating pulmonary arterial hypertension comprising administering crystalline form selexipag,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-999 ,treatment chronic hepatitis b adult patients,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2323 ,"treatment patients chronic lymphocytic leukemia (cll) small lymphocytic lymphoma (sll), without 17p deletion, received least one prior therapy",['ONCOLOGY (263) ']
U-2445 ,"treatment combination azacitidine decitabine low-dose cytarabine newly-diagnosed acute myeloid leukemia (aml) adults age 75 years older, comorbidities preclude use intensive induction chemotherapy",['ONCOLOGY (263) ']
U-2446 ,"treatment adult patients chronic lymphocytic leukemia (cll) small lymphocytic lymphoma (sll), without 17p deletion, received least one prior therapy",['ONCOLOGY (263) ']
U-2132 ,"combination fulvestrant treatment women hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced metastatic breast cancer disease progression following endocrine therapy",['ONCOLOGY (263) ']
U-2135 ,"monotherapy treatment adult patients hr-positive, her2-negative advanced metastic breast cancer disease progression following endocrine therapy prior chemotherapy metastatic setting",['ONCOLOGY (263) ']
U-2251 ,"combination aromatase inhibitor initial endocrine-based therapy treatment postmenopausal women hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced metastatic breast cancer",['ONCOLOGY (263) ']
U-1709 ,treatment irritable bowel syndrome diarrhea (ibs-d) viberzi (eluxadoline).,['FAMILY MEDICINE (624) ']
U-1738 ,treatment irritable bowel syndrome diarrhea (ibs-d) viberzi (eluxadoline),['FAMILY MEDICINE (624) ']
U-2152 ,treatment pain associated irritable bowel syndrome diarrhea (ibs-d) viberzi (eluxadoline),['FAMILY MEDICINE (624) ']
U-2039 ,"treatment adult patients chronic hcv infection genotype 1, 2, 3, 4, 5, 6 infection previously treated hcv regimen containing ns5a inhibitor",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2040 ,treatment adult patients chronic hcv infection genotype 1a 3 infection previously treated hcv regimen containing sofosbuvir without ns5a inhibitor,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1993 ,adjunctive treatment levodopa/carbidopa patients parkinson's disease experiencing 'off' episodes,['FAMILY MEDICINE (624) ']
U-1301 ,treatment deep vein thrombosis (dvt),['HEMATOLOGY (135) ']
U-1302 ,treatment pulmonary embolism (pe),['FAMILY MEDICINE (624) ']
U-1200 ,reducing risk stroke systemic embolism,['FAMILY MEDICINE (624) ']
U-1303 ,reduction risk recurrence deep vein thrombosis (dvt) pulmonary embolism,['HEMATOLOGY (135) ']
U-2142 ,reduction risk recurrence deep vein thrombosis (dvt) and/or pulmonary embolism (pe) patients continued risk recurrent dvt and/or completion initial treatment lasting least 6 months,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1953 ,"reduce risk stroke patients nonvalvular atrial fibrillation daily, rapid-release tablet administered least five consecutive days",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1954 ,"treatment deep vein thrombosis daily, rapid-release tablet administered least five consecutive days",['HEMATOLOGY (135) ']
U-1955 ,"treatment pulmonary embolism daily, rapid-release tablet administered least five consecutive days",['FAMILY MEDICINE (624) ']
U-1957 ,"prophylaxis deep vein thrombosis, may lead pulmonary embolism patients undergoing knee hip replacement surgery, daily, rapid-release tablet administered least five consecutive days",['HEMATOLOGY (135) ']
U-2143 ,"completion initial treatment lasting least 6 months, reduce risk recurrence deep vein thrombosis and/or pulmonary embolism certain patients daily, rapid-release tablet administered least 5 consecutive days",['FAMILY MEDICINE (624) ']
U-1956 ,"following initial 6 months treatment deep vein thrombosis (dvt) and/or pulmonary embolism (pe), reduction risk recurrence dvt pe daily, rapid-release tablet administered least five consecutive days",['HEMATOLOGY (135) ']
U-2435 ,"reduction risk major cardiovascular events (cv death, mi, stroke) chronic cad pad",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2322 ,treatment adult patients moderately severely active ulcerative colitis (uc),['FAMILY MEDICINE (624) ']
U-1979 ,treatment carcinoid syndrome diarrhea combination somatostatin analog (ssa) therapy adults inadequately controlled ssa therapy,['FAMILY MEDICINE (624) ']
U-1707 ,treatment irritable bowel syndrome diarrhea (ibs-d) adults symptoms thereof.,['FAMILY MEDICINE (624) ']
U-1708 ,treatment irritable bowel syndrome diarrhea (ibs-d) adults.,['FAMILY MEDICINE (624) ']
U-1481 ,reduction risk overt hepatic encephalopathy (he) recurrence,['FAMILY MEDICINE (624) ']
U-1526 ,treatment patients travelers' diarrhea (td) reduction risk overt hepatic encephalopathy (he) recurrence,['FAMILY MEDICINE (624) ']
U-1562 ,treatment patients hepatic encephalopathy (he),['FAMILY MEDICINE (624) ']
U-1994 ,reduction risk overt hepatic encephalopathy (he) adults,['FAMILY MEDICINE (624) ']
U-2456 ,treatment acute myeloid leukemia (aml),['ONCOLOGY (263) ']
U-1418 ,treatment patients unresectable metastatic melanoma brafv600e mutation detected fda approved test,['ONCOLOGY (263) ']
U-2164 ,zelboraf indicated treatment patients erdheim-chester disease braf v600 mutation,['FAMILY MEDICINE (624) ']
U-1813 ,treatment patients infected hepatitis c virus,['IMMUNOLOGY (216) ']
U-1512 ,reduction thrombotic cardiovascular events,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2291 ,reduction thrombotic cardiovascular events patients history myocardial infarction (mi) peripheral arterial disease (pad),['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2311 ,treatment hyperuricemia associated gout patients achieved target serum uric acid levels xanthine oxidase inhibitor alone,['FAMILY MEDICINE (624) ']
U-1801 ,reduction serum uric acid levels,['HEMATOLOGY (135) ']
U-1802 ,treatment gout,['FAMILY MEDICINE (624) ']
U-1804 ,achieving therapeutic benefit subject gout,['FAMILY MEDICINE (624) ']
U-1803 ,treatment hyperuricemia,['FAMILY MEDICINE (624) ']
U-1806 ,coadministering allopurinol reduce serum uric acid (sua) 4 mg/dl; 6mg/dl patients uric acid deposits; and/or 6mg/dl sua intraday change 50% and/or adverse event rate less 15%,['FAMILY MEDICINE (624) ']
U-1560 ,"method disrupting leukocyte function, including inhibitor pi3kdelta kinase",['FAMILY MEDICINE (624) ']
U-1549 ,treatment patients relapsed chronic lymphocytic leukemia,['ONCOLOGY (263) ']
U-1615 ,"treatment patients cll, fl, sll",['FAMILY MEDICINE (624) ']
