 Use Code,Use
U-1836 ,TREATMENT OF HEREDITARY TYROSINEMIA TYPE 1 (HT-1) IN COMBINATION WITH DIETARY RESTRICTION OF TYROSINE AND PHENYLALANINE
U-1052 ,RELIEF OF SIGNS AND SYMPTOMS OF ARTHRITIS AND RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER
U-1661 ,RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCERS IN PATIENTS ALSO TAKING LOW DOSE ASPIRIN
U-1760 ,RISK-REDUCTION OF NSAID GASTRIC ULCER IN PATIENTS REQUIRING CHRONIC NSAID TREATMENT
U-1781 ,RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER IN PATIENTS REQUIRING NSAID TREATMENT
U-1902 ,"TREATMENT OR SECONDARY PREVENTION OF CARDIOVASCULAR DISEASE, CARDIOVASCULAR EVENTS, OR CEREBROVASCULAR EVENTS AND RISK-REDUCTION OF ASPIRIN-ASSOCIATED GASTRIC ULCERS"
U-2324 ,FOR SECONDARY PREVENTION OF CARDIOVASCULAR AND CEREBROVASCULAR EVENTS IN PATIENTS AT RISK OF DEVELOPING ASPIRIN-ASSOCIATED GASTRIC ULCERS
U-1827 ,A METHOD OF PROVIDING A SUBJECT WITH THERAPEUTICALLY EFFECTIVE AMOUNT OF RACEMIC METHYLPHENIDATE BY ORALLY ADMINISTERING TO SAID SUBJECT A SINGLE METHYLPHENIDATE EXTENDED RELEASE CHEWABLE TABLET ACCORDING TO CLAIM 1
U-2203 ,A METHOD OF PROVIDING A SUBJECT WITH A THERAPEUTICALLY EFFECTIVE AMOUNT OF RACEMIC METHYLPHENIDATE BY ORALLY ADMINISTERING TO SAID SUBJECT A SINGLE METHYLPHENIDATE EXTENDED RELEASE CHEWABLE TABLET AS CLAIMED
U-1752 ,PROPHYLAXIS OF ORGAN REJECTION
U-1247 ,MANAGEMENT OF POSTHERPETIC NEURALGIA (PHN) IN ADULTS
U-1231 ,TREATMENT OF MODERATE-TO-SEVERE PRIMARY RESTLESS LEG SYNDROME IN ADULTS
U-494 ,TREATMENT OF ATTENTION-DEFICIT HYPERACTIVITY DISORDER
U-2441 ,REDUCTION OF RISK OF MAJOR ADVERSE CARDIOVASCULAR EVENTS IN THE TREATMENT OF TYPE 2 DIABETES MELLITUS PATIENTS
U-1097 ,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS WHEN TREATMENT  WITH BOTH SAXAGLIPTIN AND METFORMIN IS APPROPRIATE
U-1838 ,METHOD FOR TREATING TYPE II DIABETES MELLITUS BY ADMINISTERING SAXAGLIPTIN IN COMBINATION WITH METFORMIN
U-2136 ,TREATMENT OF NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY
U-2137 ,TREATMENT OF POSTHERPETIC NEURALGIA
U-2300 ,"USE IN COMBINATION WITH THE MUSCARINIC ANTAGONIST SOLIFENACIN SUCCINATE FOR THE TREATMENT OF OVERACTIVE BLADDER (OAB) WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND URINARY FREQUENCY"
U-1527 ,"FOR THE TREATMENT OF OVERACTIVE BLADDER (OAB) WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND URINARY FREQUENCY"
U-1475 ,USE OF ORENITRAM FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1).
U-1877 ,METHOD OF TREATING PULMONARY HYPERTENSION BY ORALLY ADMINISTERING A FORMULATION OF A PHARMACEUTICALLY ACCEPTABLE SALT OF TREPROSTINIL
U-1819 ,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE"
U-860 ,"FOR THE APPROVED USES AND CONDITIONS OF USE, INCLUDING DEPRESSION"
U-1364 ,MAINTENANCE TREATMENT OF MAJOR DEPRESSIVE DISORDER (MDD)
U-20 ,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON'S SYNDROME AND IN NEED OF TREATMENT
U-2290 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (45 ML/MIN/1.73 M2<=EGFR<60 ML/MIN/1.73 M2) BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN
U-1889 ,TREATMENT OF HCV INFECTION USING DASABUVIR/OMBITASVIR/PARITAPREVIR/RITONAVIR FIXED DOSE COMBINATION
U-1636 ,USE OF DASABUVIR TO INHIBIT VIRAL REPLICATION FOR THE TREATMENT OF HCV INFECTION.
U-1637 ,"TREATMENT OF HCV INFECTION USING PARITAPREVIR, OMBITASVIR, RITONAVIR, AND DASABUVIR WITH RIBAVIRIN."
U-1840 ,"TREATMENT OF HCV INFECTION USING PARITAPREVIR, OMBITASVIR, RITONAVIR, AND DASABUVIR, WITHOUT RIBAVIRIN"
U-1638 ,TREATMENT OF HCV INFECTION USING PARITAPREVIR
U-1687 ,TREATMENT OF HCV INFECTION USING OMBITASVIR
U-1753 ,TREATMENT OF HCV INFECTION USING DASABUVIR
U-247 ,TREATMENT OF RHEUMATOID ARTHRITIS
U-1541 ,TREATMENT OF PATIENTS WITH TUBEROUS SCLEROSIS COMPLEX (TSC) WHO HAVE SUBEPENDYMAL GIANT CELL ASTROCYTOMA (SEGA) THAT REQUIRES THERAPEUTIC INTERVENTION BUT CANNOT BE CURATIVELY RESECTED.
U-2280 ,ADJUNCTIVE TREATMENT OF PATIENTS WITH TSC-ASSOCIATED PARTIAL-ONSET SEIZURES
U-1749 ,ACUTE TREATMENT OF MANIC AND MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
U-1859 ,"TREATMENT OF SCHIZOPHRENIA, ACUTE TREATMENT OF MANIC AND MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER, ADJUNCTIVE TREATMENT OF MAJOR DEPRESSIVE DISORDER, AND TREATMENT OF IRRITABILITY ASSOCIATED WITH AUTISTIC DISORDER"
U-1596 ,LAMICTAL IS AN ANTIEPILEPTIC DRUG (AED) INDICATED FOR: EPILEPSY-ADJUNCTIVE THERAPY IN PATIENTS GREATER THAN OR EQUAL TO 2 YEARS OF AGE: (1.1) PARTIAL SEIZURES PRIMARY GENERALIZED TONIC-CLONIC SEIZURES
U-1981 ,"IN COMBINATION WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE-BASED THERAPY FOR TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER-2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER"
U-2343 ,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HETEROZYGOUS FOR F508DEL AND A SECOND CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
U-2399 ,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS 12 YEARS AND OLDER, WITH A F508DEL OR G551D CFTR GENE MUTATION AND A A455E, 2789+5G->A, OR 3849+10KBC->T MUTATION, COMPRISING CONCURRENT COADMINISTRATION OF THE COMPOSITIONS OF CLAIM 1 OF U.S PATENT 10058546"
U-2420 ,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 12 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,081,621"
U-2246 ,TEZACAFTOR AND IVACAFTOR FOR THE TREATMENT OF CYSTIC FIBROSIS IN PATIENTS WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVING AT LEAST ONE CFTR GENE MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR BASED ON IN VITRO DATA AND/OR CLINICAL EVIDENCE
U-2247 ,TEZACAFTOR AND IVACAFTOR FOR THE TREATMENT OF PATIENTS WITH A MILD TO MODERATE CLINICAL PHENOTYPE OF CYSTIC FIBROSIS HAVING AT LEAST ONE CFTR GENE MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR BASED ON IN VITRO DATA AND/OR CLINICAL EVIDENCE
U-2248 ,TEZACAFTOR AND IVACAFTOR FOR THE TREATMENT OF CYSTIC FIBROSIS IN PATIENTS WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HETEROZYGOUS FOR THE F508DEL MUTATION AND A SECOND MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR
U-2275 ,"TREATING CYSTIC FIBROSIS PATIENTS AGES 12 AND OLDER, WHO ARE HOMOZYGOUS FOR F508DEL OR HAVE AT LEAST 1 CFTR GENE MUTATION RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS (<30% CRYSTALLINE) IVACAFTOR"
U-2318 ,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVE AT LEAST ONE CFTR GENE MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
U-2169 ,METHOD OF USING A RECEIVER TO IDENTIFY A SIGNAL FROM A TABLET EMBEDDED WITH A SENSOR THAT COMMUNICATES INFORMATION THROUGH THE BODY OF A PATIENT
U-2167 ,METHOD OF USING A TABLET EMBEDDED WITH A SENSOR THAT COMMUNICATES INFORMATION VIA A SIGNAL THROUGH THE BODY OF A PATIENT TO A RECEIVER
U-2170 ,METHOD OF USING A RECEIVER TO RECEIVE A SIGNAL FROM A TABLET EMBEDDED WITH A SENSOR THAT COMMUNICATES INFORMATION THROUGH THE BODY OF A PATIENT
U-2168 ,METHOD OF USING A LOGIC CIRCUIT TO STABILIZE BATTERY VOLTAGE SUPPLIED TO A SENSOR EMBEDDED WITH A TABLET AND THAT COMMUNICATES INFORMATION VIA A SIGNAL THROUGH THE BODY OF A PATIENT TO A RECEIVER
U-1734 ,USE OF FLIBANSERIN OR A PHARMACEUTICALLY ACCEPTABLE ACID ADDITION SALT THEREOF TO TREAT HYPOACTIVE SEXUAL DESIRE DISORDER (HSDD)
U-1368 ,"TREATMENT OF SOLID EXCRETORY SYSTEM TUMORS; ADVANCED RENAL CELL CARCINOMA (RCC), AFTER FAILURE OF TREATMENT WITH SUNITINIB OR SORAFENIB"
U-1396 ,"TREATMENT OF ADVANCED HORMONE RECEPTOR POSITIVE, HER2-NEGATIVE BREAST CANCER IN COMBINATION WITH EXEMESTANE AFTER FAILURE OF TREATMENT WITH LETROZOLE OR ANASTROZOLE"
U-1681 ,"TREATMENT OF PATIENTS WITH PROGESSIVE NEUROENDOCRINE TUMORS OF PANCREATIC ORIGIN (PNET) THAT ARE UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC"
U-1927 ,TREATMENT OF PATIENTS WITH ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHO HAVE PROGRESSED ON OR ARE INTOLERANT TO CRIZOTINIB
U-2041 ,TREATMENT OF PARTIAL-ONSET SEIZURES
U-2121 ,TREATMENT OF PARTIAL-ONSET SEIZURES IN A PATIENT SUFFERING FROM OR SUSCEPTIBLE TO ABSENCE SEIZURES
U-2123 ,TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS WITH EPILEPSY WHO HAVE BEEN PREVIOUSLY TREATED WITH OXCARBAZEPINE
U-620 ,TREATMENT OF INSOMNIA
U-1283 ,A METHOD OF TREATING CHRONIC MYELOGENOUS LEUKEMIA
U-1171 ,REDUCTION OF THE RATE OF THROMBOTIC EVENTS IN PATIENTS WITH ACUTE CORONARY SYNDROME
U-1860 ,"REDUCTION OF THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION, AND STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION"
U-1862 ,TREATMENT OF POST-MYOCARDIAL INFARCTION
U-1863 ,TREATMENT OF STROKE
U-1864 ,TREATMENT OF MYOCARDIAL INFARCTION
U-1865 ,TREATMENT OF THROMBOTIC STROKE
U-1866 ,TREATMENT OF STABLE AND UNSTABLE ANGINA
U-1867 ,METHOD OF INHIBITING PLATELET AGGREGATION
U-1868 ,"TREATMENT OF ARTERIAL THROMBOTIC COMPLICATIONS SELECTED FROM THE GROUP CONSISTING OF UNSTABLE ANGINA, THROMBOTIC OR EMBOLIC STROKE, TRANSIENT ISCHAEMIC ATTACKS, PERIPHERAL VASCULAR DISEASE AND MYOCARDIAL INFARCTION"
U-1869 ,"TREATMENT OF AN ARTERIAL THROMBOTIC COMPLICATION IN A PATIENT WITH CORONARY ARTERY, CEREBROVASCULAR OR PERIPHERAL VASCULAR DISEASE"
U-1935 ,"REDUCTION OF THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION, AND STROKE IN PATIENTS WITH A HISTORY OF MYOCARDIAL INFARCTION"
U-1936 ,TREATMENT OF MYOCARDIAL INFARCTION AND STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION
U-1937 ,TREATMENT OF MYOCARDIAL INFARCTION IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION
U-1938 ,TREATMENT OF STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION
U-185 ,METHOD OF TREATING HYPERTENSION
U-2488 ,TREATMENT OF PATIENTS WITH HEPATOCELLULAR CARCINOMA (HCC) WHO HAVE BEEN PREVIOUSLY TREATED WITH SORAFENIB
U-1480 ,TREATMENT OF ADVANCED RENAL CELL CARCINOMA
U-1220 ,TREATMENT OF RENAL CELL CARCINOMA
U-1490 ,"FOR USE IN PATIENTS HAVING SYMPTOMATIC OR PROGRESSIVE MEDULLARY THYROID CANCER, WITH UNRESECTABLE LOCALLY ADVANCED OR METASTATIC DISEASE"
U-56 ,AID TO SMOKING CESSATION
U-533 ,ERECTILE DYSFUNCTION
U-614 ,TREATMENT OF SEXUAL DYSFUNCTION
U-1184 ,TREATMENT OF ERECTILE DYSFUNCTION AND THE SIGNS AND SYMPTOMS OF BENIGN PROSTATIC HYPERPLASIA
U-155 ,TREATMENT OF ERECTILE DYSFUNCTION
U-2410 ,TREATMENT OF ADULT PATIENTS FOR WHOM TREATMENT WITH BOTH AMLODIPINE FOR HYPERTENSION AND CELECOXIB FOR OSTEOARTHRITIS ARE APPROPRIATE
U-1694 ,A METHOD FOR TREATING HEART FAILURE IN A HUMAN USING A CRYSTALLINE FORM OF IVABRADINE HYDROCHLORIDE
U-1776 ,METHOD OF USING COBIMETINIB FOR THE TREATMENT OF MELANOMA
U-618 ,"USE OF ROSUVASTATIN CALCIUM TO REDUCE ELEVATED TOTAL-C, LDL-C, APOB, NONHDL-C OR TG LEVELS; TO INCREASE HDL-C IN ADULT PATIENTS WITH PRIMARY HYPERLIPIDEMIA OR MIXED DYSLIPIDEMIA; AND TO SLOW THE PROGRESSION OF ATHEROSCLEROSIS."
U-1032 ,USE OF ROSUVASTATIN CALCIUM FOR THE PRIMARY PREVENTION OF CARDIOVASCULAR DISEASE IN INDIVIDUALS WITHOUT CLINICALLY EVIDENT CORONARY HEART DISEASE BUT WITH INCREASED RISK FACTORS
U-1807 ,TREATMENT OF PEDIATRIC PATIENTS 8 TO 17 YEARS OF AGE WITH HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA (HEFH)
U-1724 ,METHOD OF INHIBITING HEPATITIS C VIRUS
U-1725 ,METHOD OF INHIBITING HEPATITIS C VIRUS WITH DAKLINZA AND AT LEAST ONE ADDITIONAL COMPOUND HAVING ANTI-HCV ACTIVITY
U-1115 ,TREATMENT TO REDUCE THE RISK OF COPD EXACERBATIONS IN PATIENTS WITH SEVERE COPD ASSOCIATED WITH CHRONIC BRONCHITIS AND A HISTORY OF EXACERBATIONS
U-2395 ,FOR THE TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS WITH NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-2314 ,TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC LIVER DISEASE WHO IS SCHEDULED TO UNDERGO A PROCEDURE USING DOPTELET
U-594 ,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
U-904 ,TREATMENT OF MODERATE TO SEVERE VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE
U-1153 ,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, IS INDICATED FOR THE TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 (HIV-1) INFECTION IN ANTIRETROVIRAL TREATMENT-NAIVE ADULT PATIENTS, AS SET FORTH IN THE LABELING, INCLUDING I&U; SECTION"
U-1307 ,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-NAIVE ADULT PATIENTS WITH HIV-1 RNA LESS THAN OR EQUAL TO 100,000 AT THE START OF THERAPY"
U-1740 ,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-NAIVE PATIENTS WITH HIV-1 RNA LESS THAN OR EQUAL TO 100,000 AT THE START OF THEARPY"
U-1381 ,USE OF PRASUGREL AND ASPIRIN IN PATIENTS REQUIRING THE REDUCTION OF THROMBOTIC CARDIOVASCULAR EVENTS
U-1723 ,TREATMENT OF HEART FAILURE
U-1470 ,FOR THE TREATMENT OF HEPATITIS C
U-2381 ,"TREATMENT IN COMBINATION WITH A GNRH AGONIST OF NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2382 ,"TREATMENT IN COMBINATION WITH A GNRH AGONIST OF HIGH RISK NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2237 ,"TREATMENT OF NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2269 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400MG/DAY DOSE THEN FULL DAILY DOSE IN TREATMENT OF IPF"
U-2270 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, THEN SUB-2400MG/DAY DOSE, THEN FULL DAILY DOSE IN TREATMENT OF IPF"
U-2072 ,FULL DAILY DOSING FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2073 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY ADMINISTERING FULL DAILY DOSE IN TREATMENT OF IPF"
U-2074 ,DOSING 1602 MG/DAY PIRFENIDONE FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2075 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS FOLLOWED BY ADMINISTERING 1602 MG/DAY IN TREATMENT OF IPF"
U-2076 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING 801 MG/DAY FOLLOWED BY ADMINISTERING 1602 MG/DAY IN TREATMENT OF IPF"
U-2083 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY 801 MG/DAY, DOSE, THEN 1602 MG/DAY IN TREATMENT OF IPF"
U-2080 ,"PIRFENIDONE DOSE ESCALATION REGIMEN FOR TREATMENT OF IPF AS 801 MG/DAY FOR DAYS 1-7 OF THE REGIMEN, 1602 MG/DAY FOR DAYS 8-14 OF THE REGIMEN, AND 2403 MG/DAY FOR AT LEAST DAY 15 OF THE REGIMEN"
U-2042 ,DISCONTINUING ADMINISTRATION OF FLUVOXAMINE TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE AND THEN ADMINISTERING PIRFENIDONE
U-2050 ,ADMINISTERING PIRFENIDONE WHILE AVOIDING CO-ADMINISTRATION OF FLUVOXAMINE TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE
U-2048 ,ADMINISTERING PIRFENIDONE WHILE AVOIDING CO-ADMINISTRATION OF A STRONG CYP1A2 INHIBITOR TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE
U-2049 ,DISCONTINUING ADMINISTRATION OF A STRONG CYP1A2 INHIBITOR TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE AND THEN ADMINISTERING PIRFENIDONE
U-2047 ,"ADMINISTERING PIRFENIDONE CONCURRENTLY WITH FLUVOXAMINE, THE PIRFENIDONE AT A DOSE OF ABOUT 801 MG/DAY TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE"
U-2082 ,MODIFYING PIRFENIDONE ADMINISTRATION FROM A DOSE OF ABOUT 2400 MG/DAY DOWNWARD BY ABOUT 1600 MG/DAY WHILE CO-ADMINISTERING FLUVOXAMINE TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE
U-2054 ,ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT ADMINISTRATION OF A STRONG INDUCER OF CYP1A2 TO AVOID REDUCED PIRFENIDONE EFFICACY
U-2268 ,DISCONTINUING A STRONG CYP1A2 INDUCER TO AVOID REDUCED PIRFENIDONE EFFICACY AND THEN ADMINISTERING PIRFENIDONE
U-2046 ,"ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT USE OF A CYP1A2 INHIBITOR THAT IS A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME SELECTED FROM CYP2C9, CYP2C19, AND CYP2D6"
U-2081 ,"DISCONTINUING USE OF A CYP1A2 INHIBITOR THAT IS A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME SELECTED FROM CYP2C9, CYP2C19, AND CYP2D6 AND THEN ADMINISTERING PIRFENIDONE"
U-2079 ,"PIRFENIDONE DOSE ESCALATION REGIMEN FOR TREATMENT OF FIBROSIS AS 801 MG/DAY FOR DAYS 1-7 OF THE REGIMEN, 1602 MG/DAY FOR DAYS 8-14 OF THE REGIMEN, AND 2403 MG/DAY FOR AT LEAST DAY 15 OF THE REGIMEN"
U-2055 ,DOSING OF AT LEAST 1600 MG/DAY FOLLOWING GRADE 2 LIVER ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2056 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-1600 MG/DAY, FOLLOWING BY ADMINISTERING AT LEAST 1600 MG/DAY IN TREATMENT OF IPF"
U-2057 ,DOSING 2403 MG/DAY PIRFENIDONE FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2058 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400MG/DAY DOSE, FOLLOWED BY ADMINISTERING 2403MG/DAY IN TREATMENT OF IPF"
U-2059 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, FOLLOWED BY FULL DAILY DOSE IN TREATMENT OF IPF"
U-2060 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, THEN AT LEAST 1600MG/DAY IN TREATMENT OF IPF"
U-2061 ,DOSING OF AT LEAST 1600 MG/DAY FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2062 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-1600 MG/DAY DOSE, FOLLOWED BY ADMINISTERING AT LEAST 1600 MG/DAY DOSE IN TREATMENT OF IPF "
U-2063 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY ADMINISTERING AT LEAST 1600 MG/DAY IN TREATMENT OF IPF"
U-2064 ,DOSING AT LEAST 1602 MG/DAY FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION
U-2065 ,FULL DAILY DOSING FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION
U-2066 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400 MG/DAY DOSE, FOLLOWED BY FULL DAILY DOSE"
U-2067 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE, FOLLOWED BY ADMINISTERING AT LEAST 1602 MG/DAY"
